series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status
52357.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV Episode 0,TV Special,1.0,0.0,1.0,2024-10-07,2024-10-07,,0.0,,0.0,Completed
47164.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,TV,11.0,0.0,11.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
53111.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,TV,11.0,0.0,11.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
57066.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,TV,15.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
42192.0,Edens Zero,TV,25.0,0.0,25.0,2021-11-22,2021-11-23,,0.0,,0.0,Completed
54917.0,Edens Zero (Recap Movie),ONA,1.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
50002.0,Edens Zero 2nd Season,TV,25.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
52081.0,Edomae Elf,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
49894.0,Eiyuu Kyoushitsu,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,6.0,,0.0,Completed
50481.0,"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀",TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
38671.0,Enen no Shouboutai,TV,24.0,0.0,24.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
40956.0,Enen no Shouboutai: Ni no Shou,TV,24.0,0.0,24.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
51818.0,Enen no Shouboutai: San no Shou,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
59229.0,Enen no Shouboutai: San no Shou Part 2,TV,13.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
51417.0,Engage Kiss,TV,13.0,0.0,13.0,0000-00-00,0000-00-00,,6.0,,0.0,Completed
6702.0,Fairy Tail,TV,175.0,0.0,175.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
22043.0,Fairy Tail (2014),TV,102.0,0.0,102.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
49785.0,Fairy Tail: 100-nen Quest,TV,25.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
48997.0,Fantasy Bishoujo Juniku Ojisan to,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
53127.0,Fate/strange Fake: Whispers of Dawn,TV Special,1.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
59144.0,"Fuguushoku ""Kanteishi"" ga Jitsu wa Saikyou Datta",TV,12.0,0.0,12.0,2025-12-03,2025-12-03,,6.0,,0.0,Completed
121.0,Fullmetal Alchemist,TV,51.0,0.0,51.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
5114.0,Fullmetal Alchemist: Brotherhood,TV,64.0,0.0,64.0,2018-01-09,2018-01-20,,9.0,,0.0,Completed
49709.0,Fumetsu no Anata e Season 2,TV,20.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
50425.0,"Fuufu Ijou, Koibito Miman.",TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
48760.0,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
30544.0,Gakusen Toshi Asterisk,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
31737.0,Gakusen Toshi Asterisk 2nd Season,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
34280.0,Gamers!,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
28907.0,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
31637.0,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
23289.0,Gekkan Shoujo Nozaki-kun,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
55720.0,Genjitsu no Rimuru: Sunshine in the Slime,ONA,2.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
41710.0,Genjitsu Shugi Yuusha no Oukoku Saikenki,TV,13.0,0.0,13.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
49930.0,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,TV,13.0,0.0,13.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
49854.0,Getsuyoubi no Tawawa 2,ONA,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
54968.0,Giji Harem,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
52481.0,Gimai Seikatsu,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
241.0,Girls Bravo: First Season,TV,11.0,0.0,11.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
37349.0,Goblin Slayer,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
47160.0,Goblin Slayer II,TV,12.0,0.0,12.0,2024-02-16,2024-02-16,,7.0,,0.0,Completed
39576.0,Goblin Slayer: Goblin's Crown,Movie,1.0,0.0,1.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
43692.0,Gokushufudou,ONA,5.0,0.0,5.0,0000-00-00,0000-00-00,,6.0,,0.0,Completed
17895.0,Golden Time,TV,24.0,0.0,24.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
29095.0,Grisaia no Rakuen,TV,10.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
10793.0,Guilty Crown,TV,22.0,0.0,22.0,0000-00-00,0000-00-00,,6.0,,0.0,Completed
38830.0,"Hachi-nan tte, Sore wa Nai deshou!",TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
13161.0,Hagure Yuusha no Aesthetica,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
15729.0,Hagure Yuusha no Aesthetica: Hajirai Ippai,Special,6.0,0.0,6.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
31859.0,Hai to Gensou no Grimgar,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
20583.0,Haikyuu!!,TV,25.0,0.0,25.0,0000-00-00,0000-00-00,,9.0,,0.0,Completed
32935.0,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10.0,0.0,10.0,0000-00-00,0000-00-00,,9.0,,0.0,Completed
35111.0,Haikyuu!! Movie 4: Concept no Tatakai,Movie,1.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
28891.0,Haikyuu!! Second Season,TV,25.0,0.0,25.0,0000-00-00,0000-00-00,,9.0,,0.0,Completed
38883.0,Haikyuu!! To the Top,TV,13.0,0.0,13.0,0000-00-00,0000-00-00,,9.0,,0.0,Completed
59457.0,"Haite Kudasai, Takamine-san",TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
54362.0,Hametsu no Oukoku,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
15809.0,Hataraku Maou-sama!,TV,13.0,0.0,13.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
48413.0,Hataraku Maou-sama!!,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,6.0,,0.0,Completed
53200.0,Hataraku Maou-sama!! 2nd Season,TV,12.0,0.0,12.0,2024-02-20,2024-02-21,,7.0,,0.0,Completed
59002.0,"Hazure Skill ""Kinomi Master"": Skill no Mi (Tabetara Shinu) wo Mugen ni Taberareru You ni Natta Ken ni Tsuite",TV,12.0,0.0,12.0,2025-12-02,2025-12-03,,6.0,,0.0,Completed
57892.0,"Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made",TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,4.0,,0.0,Completed
60460.0,Hell Mode: Yarikomizuki no Gamer wa Hai Settei no Isekai de Musou suru,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
40938.0,Hige wo Soru. Soshite Joshikousei wo Hirou.,TV,13.0,0.0,13.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
11617.0,High School DxD,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
24703.0,High School DxD BorN,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
31326.0,High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original Video,Special,6.0,0.0,6.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
